,Condition,Drug,Indication,Type,Effective,EaseOfUse,Satisfaction
1221,flatulence,Alum-Mag Hydroxide-Simeth,On Label,OTC,3.0,4.0,2.0
1222,flatulence,Simethicone,On Label,OTC,4.6,4.8,4.6
1224,flatulence,"Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Calcium And Magnesium Carbonat, Calcium Carbonate, Alum-Mag Hydroxide-Simeth",On Label,OTC,4.5,4.67,4.33
1226,flatulence,Calcium Carbonate-Simethicone,On Label,OTC,5.0,5.0,5.0
1227,flatulence,"Aluminum-Magnesium Hydroxide, Calcium Carbonate, Alum-Mag Hydroxide-Simeth",On Label,OTC,5.0,5.0,5.0
1230,flatulence,Calcium Carbonate-Simethicone,On Label,OTC,5.0,5.0,5.0
1231,flatulence,Simethicone,On Label,OTC,4.67,5.0,4.67
1232,flatulence,Alum-Mag Hydroxide-Simeth,On Label,OTC,4.0,4.0,4.5
1233,flatulence,Simethicone,On Label,OTC,2.0,4.0,2.0
1234,flatulence,"Calcium Carbonate-Mag Hydroxid, Alum-Mag Hydroxide-Simeth",On Label,OTC,3.0,5.0,4.0
1235,flatulence,Alum-Mag Hydroxide-Simeth,On Label,OTC,5.0,4.0,2.0
1237,flatulence,"Calcium Carb-Mag Hydrox-Simeth, Alum-Mag Hydroxide-Simeth",On Label,OTC,5.0,5.0,5.0
1238,flatulence,Alum-Mag Hydroxide-Simeth,On Label,OTC,3.0,5.0,3.0
1239,flatulence,Alum-Mag Hydroxide-Simeth,On Label,OTC,5.0,5.0,5.0
1240,flatulence,"Alum-Mag Hydroxide-Simeth, Calcium Carbonate-Simethicone",On Label,OTC,5.0,5.0,5.0
1242,flatulence,Simethicone,On Label,OTC,2.0,4.5,2.5
1243,flatulence,Simethicone,On Label,OTC,3.0,3.0,3.0
1244,flatulence,Simethicone,On Label,OTC,4.5,5.0,4.0
1245,flatulence,Alum-Mag Hydroxide-Simeth,On Label,OTC,5.0,1.0,5.0
1246,flatulence,Alum-Mag Hydroxide-Simeth,On Label,OTC,4.0,5.0,4.0
1247,flatulence,Alum-Mag Hydroxide-Simeth,On Label,OTC,5.0,5.0,5.0
1248,flatulence,"Aluminum-Magnesium Hydroxide, Aluminum Hydrox-Magnesium Carb, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth",On Label,OTC,3.0,5.0,3.0
1250,flatulence,Alum-Mag Hydroxide-Simeth,On Label,OTC,4.0,3.0,4.0
1251,flatulence,Simethicone,On Label,OTC,4.0,5.0,4.0
1252,flatulence,Simethicone,On Label,OTC,1.0,1.0,1.0
1253,flatulence,Simethicone,On Label,OTC,5.0,5.0,5.0
1257,flatulence,Calcium Carbonate-Simethicone,On Label,OTC,5.0,5.0,5.0
1260,flatulence,Alum-Mag Hydroxide-Simeth,On Label,OTC,1.0,1.0,1.0
1261,flatulence,Simethicone,On Label,OTC,4.0,5.0,5.0
1263,flatulence,"Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Magaldrate, Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Aluminum Hydrox-Magnesium Carb, Calcium And Magnesium Carbonat, Aluminum-Magnesium-Alginate, Calcium Carbonate, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth",On Label,OTC,5.0,5.0,5.0
1266,flatulence,Calcium Carbonate-Mag Hydroxid,On Label,OTC,4.0,4.0,5.0
1267,flatulence,Simethicone,On Label,OTC,4.0,2.0,3.0
1268,flatulence,Simethicone,On Label,OTC,4.0,4.0,4.0
1269,flatulence,Alum-Mag Hydroxide-Simeth,On Label,OTC,2.0,1.0,3.0
1273,flatulence,"Simethicone, Alpha-D-Galactosidase",On Label,OTC,3.0,5.0,3.0
1276,flatulence,"Activated Charcoal-Simethicone, Simethicone",On Label,OTC,1.0,1.0,1.0
1278,flatulence,Alum-Mag Hydroxide-Simeth,On Label,OTC,5.0,4.0,2.0
1280,flatulence,Simethicone,On Label,OTC,1.0,5.0,1.0
1281,flatulence,"Aluminum-Magnesium-Alginate, Alum-Mag Hydroxide-Simeth",On Label,OTC,1.0,5.0,1.0
1282,flatulence,"Aluminum-Magnesium Hydroxide, Alum-Mag Hydroxide-Simeth",On Label,OTC,4.0,4.0,4.0
1284,flatulence,Simethicone,On Label,OTC,3.0,5.0,3.0
1287,flatulence,Simethicone,On Label,OTC,3.0,5.0,4.0
1289,furunculosis,"Mupirocin Calcium, Mupirocin",Off Label,RX,3.86,4.55,3.79
1291,furunculosis,Mupirocin,Off Label,RX,3.91,4.36,3.09
1292,furunculosis,Mupirocin,Off Label,RX,5.0,5.0,5.0
1293,furunculosis,Gentamicin,On Label,RX,4.5,5.0,4.5
1294,furunculosis,Gentamicin,On Label,RX,3.0,5.0,3.0
1295,furunculosis,Mupirocin,Off Label,RX,1.0,4.0,1.0
1296,gastroesophageal reflux disease,Omeprazole,On Label,RX/OTC,3.78,4.18,3.22
1298,gastroesophageal reflux disease,Dexlansoprazole,On Label,RX,3.82,4.31,2.87
1299,gastroesophageal reflux disease,Metoclopramide Hcl,On Label,RX,2.77,3.38,2.06
1300,gastroesophageal reflux disease,Pantoprazole,Off Label,RX,3.91,4.34,3.62
1301,gastroesophageal reflux disease,Rabeprazole,On Label,RX,4.12,4.58,3.93
1302,gastroesophageal reflux disease,"Omeprazole, Omeprazole Magnesium",On Label,RX,4.07,4.53,3.4
1304,gastroesophageal reflux disease,Pantoprazole,Off Label,RX,3.32,4.2,2.99
1305,gastroesophageal reflux disease,Omeprazole Magnesium,On Label,OTC,4.01,4.4,3.16
1306,gastroesophageal reflux disease,Lansoprazole,On Label,RX,4.3,4.65,4.08
1307,gastroesophageal reflux disease,Omeprazole-Sodium Bicarbonate,On Label,RX,4.05,4.37,3.47
1308,gastroesophageal reflux disease,Sucralfate,Off Label,RX,3.83,3.6,3.57
1310,gastroesophageal reflux disease,Ranitidine Hcl,On Label,RX/OTC,4.07,4.51,3.74
1315,gastroesophageal reflux disease,Dexlansoprazole,On Label,RX,3.83,4.47,3.38
1316,gastroesophageal reflux disease,Metoclopramide Hcl,On Label,RX,3.3,3.74,3.17
1317,gastroesophageal reflux disease,Sucralfate,Off Label,RX,4.14,3.54,3.89
1319,gastroesophageal reflux disease,Ranitidine Hcl,On Label,RX/OTC,4.33,4.42,4.17
1322,gastroesophageal reflux disease,Erythromycin,Off Label,RX,2.11,2.79,1.32
1324,gastroesophageal reflux disease,Magnesium Oxide,Off Label,RX/OTC,3.37,3.83,3.27
1325,gastroesophageal reflux disease,Lansoprazole,On Label,RX/OTC,2.91,4.05,2.5
1327,gastroesophageal reflux disease,Famotidine,On Label,RX/OTC,3.2,4.5,3.0
1330,gastroesophageal reflux disease,Omeprazole Magnesium,On Label,RX/OTC,3.77,4.23,3.54
1333,gastroesophageal reflux disease,Esomeprazole Magnesium,On Label,RX/OTC,3.54,4.23,2.92
1336,gastroesophageal reflux disease,Rabeprazole,On Label,RX,3.78,4.44,3.67
1337,gastroesophageal reflux disease,Lansoprazole,On Label,OTC,4.63,5.0,4.0
1338,gastroesophageal reflux disease,Omeprazole-Sodium Bicarbonate,On Label,OTC,3.55,4.27,3.55
1339,gastroesophageal reflux disease,Famotidine,On Label,RX,3.86,4.29,3.29
1341,gastroesophageal reflux disease,Famotidine-Ca Carb-Mag Hydrox,On Label,OTC,4.78,4.67,4.44
1342,gastroesophageal reflux disease,Famotidine,On Label,OTC,4.5,4.75,4.5
1344,gastroesophageal reflux disease,Erythromycin,Off Label,RX,3.8,4.0,3.4
1345,gastroesophageal reflux disease,"Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Aluminum Hydrox-Magnesium Carb, Aluminum-Magnesium-Alginate, Calcium Carbonate",Off Label,OTC,4.75,4.75,3.75
1347,gastroesophageal reflux disease,Aluminum Hydrox-Magnesium Carb,Off Label,OTC,4.88,4.75,4.88
1348,gastroesophageal reflux disease,Cimetidine,On Label,OTC,4.5,5.0,4.5
1349,gastroesophageal reflux disease,Erythromycin Stearate,Off Label,RX,3.0,2.8,2.2
1350,gastroesophageal reflux disease,Erythromycin Ethylsuccinate,Off Label,RX,3.25,2.75,3.0
1351,gastroesophageal reflux disease,Lansoprazole,On Label,RX,4.33,5.0,4.67
1352,gastroesophageal reflux disease,Omeprazole-Sodium Bicarbonate,On Label,RX/OTC,4.63,4.88,4.38
1353,gastroesophageal reflux disease,Dexlansoprazole,On Label,RX,4.43,4.86,4.0
1354,gastroesophageal reflux disease,Ranitidine Hcl,On Label,OTC,4.33,4.33,4.33
1355,gastroesophageal reflux disease,Nizatidine,On Label,RX,5.0,5.0,5.0
1356,gastroesophageal reflux disease,Ranitidine Hcl,On Label,RX,4.2,5.0,3.8
1357,gastroesophageal reflux disease,Esomeprazole Magnesium,On Label,RX,4.33,4.67,3.67
1358,gastroesophageal reflux disease,"Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Calcium And Magnesium Carbonat, Calcium Carbonate, Alum-Mag Hydroxide-Simeth",Off Label,OTC,4.5,4.67,4.33
1360,gastroesophageal reflux disease,Magnesium Hydroxide,On Label,OTC,4.0,5.0,4.25
1361,gastroesophageal reflux disease,Metoclopramide Hcl,On Label,RX,4.0,4.67,3.33
1362,gastroesophageal reflux disease,"Calcium Carbonate-Mag Hydroxid, Dihydroxyaluminum Sod Carb",Off Label,OTC,4.33,5.0,4.67
1363,gastroesophageal reflux disease,"Aluminum-Magnesium Hydroxide, Calcium Carbonate, Alum-Mag Hydroxide-Simeth",Off Label,OTC,5.0,5.0,5.0
1366,gastroesophageal reflux disease,Magnesium Hydroxide,On Label,OTC,4.5,4.5,4.5
1367,gastroesophageal reflux disease,Esomeprazole Magnesium,On Label,OTC,3.33,3.67,3.0
1369,gastroesophageal reflux disease,Ranitidine Hcl,On Label,OTC,5.0,5.0,5.0
1371,gastroesophageal reflux disease,Metoclopramide Hcl,On Label,RX,3.67,4.67,3.33
1372,gastroesophageal reflux disease,Pantoprazole,On Label,RX,5.0,5.0,5.0
1373,gastroesophageal reflux disease,Ranitidine Hcl,On Label,RX,3.0,3.0,2.5
1374,gastroesophageal reflux disease,Erythromycin Stearate,Off Label,RX,5.0,4.0,5.0
1375,gastroesophageal reflux disease,Famotidine,On Label,OTC,5.0,5.0,5.0
1377,gastroesophageal reflux disease,Ranitidine Hcl,On Label,OTC,3.0,4.0,3.0
1379,gastroesophageal reflux disease,Nizatidine,On Label,RX,3.0,4.0,3.0
1380,gastroesophageal reflux disease,Erythromycin Ethylsuccinate,Off Label,RX,1.0,1.0,1.0
1381,gastroesophageal reflux disease,Pantoprazole,On Label,RX,5.0,5.0,5.0
1382,gastroesophageal reflux disease,Famotidine,On Label,OTC,5.0,5.0,5.0
1384,gastroesophageal reflux disease,Famotidine-Ca Carb-Mag Hydrox,On Label,OTC,5.0,5.0,5.0
1385,gastroesophageal reflux disease,Alum-Mag Hydroxide-Simeth,Off Label,OTC,5.0,4.0,2.0
1387,gastroesophageal reflux disease,Aluminum Hydroxide Gel,Off Label,OTC,5.0,5.0,5.0
1388,gastroesophageal reflux disease,Magnesium Hydroxide,On Label,OTC,4.0,4.0,4.0
1389,gastroesophageal reflux disease,Esomeprazole Strontium,On Label,RX,3.0,3.0,3.0
1390,gastroesophageal reflux disease,Famotidine-Ca Carb-Mag Hydrox,On Label,OTC,4.0,4.0,4.0
1391,gastroesophageal reflux disease,Ranitidine Hcl,On Label,RX,2.0,4.0,1.5
1392,gastroesophageal reflux disease,Erythromycin Ethylsuccinate,Off Label,RX,4.0,4.0,4.0
1394,gastroesophageal reflux disease,Ranitidine Hcl,On Label,OTC,1.0,3.0,1.0
1395,gastroesophageal reflux disease,Erythromycin,Off Label,RX,5.0,2.0,4.0
1396,gastroesophageal reflux disease,Famotidine-Ca Carb-Mag Hydrox,On Label,OTC,2.0,5.0,2.0
1397,gastroesophageal reflux disease,Al Hyd-Mg Tr-Alg Ac-Sod Bicarb,Off Label,OTC,3.0,3.0,1.0
1398,gastroesophageal reflux disease,Aluminum Hydroxide Gel,Off Label,OTC,5.0,5.0,5.0
1399,gastroesophageal reflux disease,"Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Aluminum Hydrox-Magnesium Carb, Aluminum-Magnesium-Alginate",Off Label,OTC,2.0,2.0,2.0
1400,gastroesophageal reflux disease,Aluminum Hydrox-Magnesium Carb,Off Label,OTC,1.0,1.0,1.0
1401,gastroesophageal reflux disease,"Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Magaldrate, Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Aluminum Hydrox-Magnesium Carb, Calcium And Magnesium Carbonat, Aluminum-Magnesium-Alginate, Calcium Carbonate, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth",Off Label,OTC,5.0,5.0,5.0
1404,gastroesophageal reflux disease,Magaldrate,Off Label,OTC,5.0,5.0,5.0
1405,gastroesophageal reflux disease,Erythromycin Stearate,Off Label,RX,4.0,4.0,4.0
1406,gastroesophageal reflux disease,Famotidine,On Label,OTC,3.0,5.0,3.0
1408,gastroesophageal reflux disease,"Aluminum-Magnesium Hydroxide, Aluminum Hydrox-Magnesium Carb, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth",Off Label,OTC,3.0,5.0,3.0
1410,gastroesophageal reflux disease,Magnesium Hydroxide,Off Label,OTC,4.0,4.0,4.0
1411,gastroesophageal reflux disease,Al Hyd-Mg Tr-Alg Ac-Sod Bicarb,Off Label,OTC,1.0,1.0,1.0
1413,gastroesophageal reflux disease,Cimetidine Hcl,On Label,RX,5.0,5.0,5.0
1414,gastroesophageal reflux disease,Lansoprazole,On Label,OTC,5.0,5.0,5.0
1415,gastroesophageal reflux disease,"Aluminum-Magnesium Hydroxide, Alum-Mag Hydroxide-Simeth",Off Label,OTC,4.0,4.0,4.0
1417,gastroesophageal reflux disease,Aluminum-Magnesium Hydroxide,Off Label,OTC,1.0,5.0,1.0
1418,gastroesophageal reflux disease,Erythromycin Ethylsuccinate,Off Label,RX,5.0,4.0,5.0
1419,gastroesophageal reflux disease,"Aluminum-Magnesium-Alginate, Alum-Mag Hydroxide-Simeth",Off Label,OTC,1.0,5.0,1.0
1420,gastroesophageal reflux disease,"Calcium Carbonate-Mag Hydroxid, Calcium Carbonate, Dihydroxyaluminum Sod Carb",Off Label,OTC,1.0,1.0,1.0
1421,gastroesophageal reflux disease,Erythromycin Ethylsuccinate,Off Label,RX,1.0,1.0,1.0
1422,gastroesophageal reflux disease,Erythromycin Ethylsuccinate,Off Label,RX,3.0,3.0,3.0
1423,gastroesophageal reflux disease,Ranitidine Hcl,On Label,OTC,4.0,5.0,3.0
1425,gastroesophageal reflux disease,Ranitidine Hcl,On Label,RX,2.0,5.0,2.0
1427,genital herpes simplex,Valacyclovir,On Label,RX,4.29,4.6,4.15
1428,genital herpes simplex,Valacyclovir,On Label,RX,3.96,4.16,3.61
1429,genital herpes simplex,Acyclovir,On Label,RX,4.25,3.5,3.75
1430,genital herpes simplex,Acyclovir,On Label,RX,3.17,4.09,3.17
1432,genital herpes simplex,Acyclovir-Hydrocortisone,Off Label,RX,4.57,4.79,4.43
1433,genital herpes simplex,Acyclovir Sodium,On Label,RX,2.0,3.0,1.67
1434,genital herpes simplex,Acyclovir,On Label,RX,3.67,4.0,4.0
1436,genital herpes simplex,Acyclovir Sodium,On Label,RX,5.0,4.5,5.0
1437,genital herpes simplex,Acyclovir-Hydrocortisone,Off Label,RX,1.0,1.0,1.0
1438,gout,Meloxicam,Off Label,RX,3.44,4.26,3.15
1439,gout,Celecoxib,Off Label,RX,3.85,4.47,3.46
1440,gout,Naproxen,On Label,RX,2.82,3.7,2.42
1443,gout,Meloxicam,Off Label,RX,3.4,4.13,3.09
1444,gout,Diclofenac Sodium,Off Label,RX,3.67,4.19,3.33
1446,gout,Indomethacin,On Label,RX,3.97,4.25,3.67
1449,gout,Ibuprofen,Off Label,RX/OTC,3.37,3.98,3.13
1453,gout,Diclofenac Sodium,Off Label,RX,3.9,4.31,3.61
1454,gout,Etodolac,Off Label,RX,2.89,3.83,2.81
1456,gout,Naproxen Sodium,Off Label,OTC,3.5,4.24,3.13
1457,gout,Diclofenac-Misoprostol,Off Label,RX,3.84,4.01,3.35
1458,gout,Piroxicam,Off Label,RX,3.45,4.07,3.25
1459,gout,Naproxen Sodium,On Label,RX/OTC,3.12,4.23,2.73
1461,gout,Diclofenac-Misoprostol,Off Label,RX,4.52,4.64,4.05
1462,gout,Diclofenac Potassium,Off Label,RX,3.95,4.45,3.7
1464,gout,Indomethacin,On Label,RX,4.22,4.41,4.06
1467,gout,Naproxen,On Label,RX,3.27,3.64,2.91
1469,gout,Oxaprozin,Off Label,RX,3.44,4.12,3.32
1470,gout,Mefenamic Acid,Off Label,RX,3.86,4.47,3.88
1471,gout,Diclofenac Potassium,Off Label,RX,3.71,4.25,3.46
1472,gout,Oxaprozin,Off Label,RX,3.36,4.24,3.08
1473,gout,Piroxicam,Off Label,RX,4.32,4.2,3.72
1474,gout,Ibuprofen-Famotidine,Off Label,RX,4.18,4.27,4.05
1475,gout,Diclofenac Sodium,Off Label,RX,4.09,4.04,3.87
1476,gout,Celecoxib,Off Label,RX,3.0,3.5,2.85
1477,gout,Diclofenac Potassium,Off Label,RX,3.73,4.47,3.6
1478,gout,Ibuprofen,Off Label,RX/OTC,3.64,4.18,3.64
1482,gout,Ketoprofen,Off Label,RX,4.5,4.17,4.5
1484,gout,Ibuprofen,Off Label,OTC,4.2,4.4,4.2
1486,gout,Diclofenac-Misoprostol,Off Label,RX,3.85,4.15,3.08
1487,gout,Ibuprofen,Off Label,OTC,4.21,4.79,4.0
1488,gout,Diflunisal,Off Label,RX,3.13,4.0,2.38
1489,gout,Naproxen Sodium,Off Label,RX,3.0,3.86,3.0
1490,gout,Fenoprofen,Off Label,RX,4.33,4.83,4.33
1491,gout,Ibuprofen,Off Label,OTC,4.75,5.0,4.75
1492,gout,Mefenamic Acid,Off Label,RX,3.44,4.22,3.44
1493,gout,Etodolac,Off Label,RX,4.0,4.88,4.13
1494,gout,Diflunisal,Off Label,RX,4.67,4.67,4.67
1495,gout,Ibuprofen,Off Label,OTC,4.0,4.4,4.2
1496,gout,Meclofenamate,Off Label,RX,3.86,4.43,3.86
1497,gout,Flurbiprofen,Off Label,RX,4.5,4.33,3.83
1498,gout,Indomethacin,On Label,RX,4.4,4.6,4.2
1499,gout,Naproxen Sodium,On Label,RX,3.33,3.67,3.0
1500,gout,Ketoprofen,Off Label,RX,3.0,3.5,3.0
1501,gout,Naproxen Sodium,Off Label,RX,4.33,4.33,4.33
1502,gout,Naproxen Sodium,Off Label,OTC,4.0,5.0,5.0
1503,gout,Ketoprofen,Off Label,RX,5.0,5.0,5.0
1504,gout,Naproxen Sodium,On Label,RX,4.0,5.0,4.0
1505,gout,Flurbiprofen,Off Label,RX,5.0,5.0,5.0
1506,gout,Tolmetin,Off Label,RX,5.0,4.5,5.0
1507,gout,Ibuprofen,Off Label,OTC,4.0,4.67,4.33
1510,gout,Tolmetin,Off Label,RX,3.0,3.5,3.0
1511,gout,Ibuprofen,Off Label,OTC,2.5,3.0,1.0
1513,gout,Ketoprofen,Off Label,OTC,5.0,5.0,5.0
1514,gout,Ibuprofen,Off Label,RX,4.5,4.5,4.0
1515,gout,Naproxen Sodium,Off Label,OTC,3.5,4.0,3.0
1516,gout,Ibuprofen,Off Label,OTC,4.0,4.5,4.0
1517,gout,Fenoprofen,Off Label,RX,3.0,5.0,2.0
1518,gout,Meclofenamate,Off Label,RX,5.0,5.0,5.0
1519,gout,Naproxen Sodium,Off Label,OTC,4.0,5.0,5.0
1520,gout,Ibuprofen,Off Label,OTC,5.0,5.0,5.0
1521,gout,"Acetaminophen-Pamabrom, Ibuprofen",Off Label,OTC,5.0,5.0,5.0
1522,gout,Ibuprofen,Off Label,OTC,3.5,4.5,2.5
1523,gout,Ibuprofen,Off Label,OTC,4.0,4.0,5.0
1524,gout,Ketoprofen,Off Label,OTC,4.0,4.0,4.0
1525,gout,Ibuprofen,Off Label,OTC,3.0,5.0,3.0
1526,gout,Ibuprofen,Off Label,RX,5.0,5.0,5.0
1527,gout,Tolmetin,Off Label,RX,1.0,1.0,1.0
1528,gout,"Pseudoephedrine-Ibuprofen, Ibuprofen",Off Label,OTC,5.0,5.0,5.0
1530,gout,Ibuprofen,Off Label,OTC,5.0,5.0,5.0
1531,gout,Ibuprofen,Off Label,OTC,4.0,3.0,3.0
1532,gout,Indomethacin,On Label,RX,1.0,4.0,1.0
1533,gout,Ibuprofen,Off Label,OTC,4.0,4.0,4.0
1536,gout,Naproxen,Off Label,RX,1.0,5.0,1.0
1537,gout,Naproxen Sodium,Off Label,OTC,4.0,3.0,4.0
1538,gout,Ibuprofen-Famotidine,Off Label,RX,5.0,5.0,5.0
1539,gout,Ibuprofen,Off Label,RX,4.0,5.0,2.0
1541,gout,Indomethacin,On Label,RX,3.0,5.0,4.0
1542,gout,Ibuprofen,Off Label,RX,3.0,3.0,3.0
1543,gout,Fenoprofen,Off Label,RX,3.0,4.0,4.0
1544,gout,Naproxen Sodium,Off Label,RX,5.0,5.0,5.0
1547,gout,Ibuprofen,Off Label,OTC,4.0,3.0,4.0
1548,hemorrhoids,Hydrocortisone Acetate,On Label,RX,3.66,3.89,3.29
1549,hemorrhoids,Hydrocortisone,Off Label,RX/OTC,4.2,4.2,4.0
1551,hemorrhoids,Hydrocortisone Acetate,On Label,RX,2.67,3.27,2.6
1554,hemorrhoids,Lidocaine,On Label,RX/OTC,3.31,3.75,3.25
1557,hemorrhoids,"Phenyleph-Shark Oil-Glyc-Pet, Phenyleph-Min Oil-Petrolatum, Cocoa Butter-Shark Liver Oil",On Label,OTC,2.75,3.56,2.63
1559,hemorrhoids,Lidocaine,On Label,OTC,4.4,4.8,4.4
1560,hemorrhoids,"Hydrocortisone Acetate, Hydrocortison-Resor-Bismth-Zno, Hydrocortisone",On Label,RX,4.0,4.0,3.2
1562,hemorrhoids,"Bismuth Subg-Balsam-Znox-Resor, Starch, Pramoxine-Mineral Oil-Zinc",On Label,OTC,3.5,3.5,3.75
1563,hemorrhoids,"Pramoxine-Calamine-Camphor, Pramoxine-Calamine",On Label,OTC,5.0,5.0,5.0
1564,hemorrhoids,Phenylephrine-Witch Hazel,On Label,OTC,2.86,4.0,2.0
1565,hemorrhoids,Pramoxine,On Label,OTC,2.67,2.67,2.33
1566,hemorrhoids,"Cocoa Butter-Zinc Oxide, Zinc Oxide",On Label,OTC,3.33,4.67,3.33
1567,hemorrhoids,Phenyleph-Pramoxin-Glycr-W.Pet,On Label,OTC,2.2,3.2,1.8
1568,hemorrhoids,Hydrocortisone,Off Label,RX,3.75,4.0,3.5
1570,hemorrhoids,Hydrocortisone Acetate,Off Label,OTC,2.4,3.6,2.4
1571,hemorrhoids,Phenylephrine Hcl,On Label,OTC,3.0,3.0,1.0
1572,hemorrhoids,Pramoxine-Zinc Oxide,On Label,OTC,5.0,5.0,5.0
1573,hemorrhoids,Hydrocortisone,Off Label,RX,4.0,3.0,3.0
1574,hemorrhoids,"Hydrocortisone Acetate, Bismuth Subg-Balsam-Znox-Resor",On Label,RX/OTC,1.0,1.0,1.0
1575,hemorrhoids,Hydrocortisone Acetate,On Label,RX,3.0,4.0,2.0
1576,hemorrhoids,Lidocaine-Hydrocortisone-Aloe,On Label,RX,5.0,4.0,5.0
1577,hemorrhoids,"Starch, Pramoxine-Mineral Oil-Zinc",On Label,OTC,5.0,5.0,5.0
1578,hemorrhoids,"Phenylephrine Hcl, Bismuth Subg-Balsam-Znox-Resor",On Label,OTC,4.0,2.5,3.5
1580,hemorrhoids,Phenylephrine-Cocoa Butter,On Label,OTC,3.0,4.0,5.0
1581,hemorrhoids,Hydrocortisone,Off Label,RX,3.0,5.0,3.0
1582,hemorrhoids,Lidocaine-Hydrocortisone-Aloe,On Label,RX,5.0,3.0,4.0
1583,hemorrhoids,Pramoxine-Zinc Acetate,On Label,OTC,5.0,5.0,5.0
1584,hemorrhoids,Lidocaine,On Label,OTC,3.0,4.0,3.0
1585,hemorrhoids,"Phenylephrine-Zinc Oxide, Phenylephrn-Pramoxine-Mo-W.Pet",On Label,OTC,5.0,5.0,5.0
1586,hemorrhoids,"Phenyleph-Shark Oil-Cocoa Butr, Skin Rsp Ftr-Srk Liv-Phenylmer, Phenyleph-Shark Liv Oil-Mo-Pet",On Label,OTC,4.0,4.0,4.0
1588,hemorrhoids,Lidocaine,On Label,OTC,5.0,5.0,5.0
1589,hemorrhoids,Zinc Oxide,On Label,OTC,1.0,1.0,1.0
1590,hemorrhoids,Hydrocortisone Acetate,Off Label,RX/OTC,2.0,4.0,2.0
1592,hemorrhoids,Pramoxine-Calamine,On Label,OTC,5.0,3.0,5.0
1593,hemorrhoids,Phenyleph-Pramoxin-Glycr-W.Pet,On Label,OTC,4.0,4.0,5.0
1594,hemorrhoids,Phenyleph-Min Oil-Petrolatum,On Label,OTC,5.0,4.0,5.0
1595,hemorrhoids,Phenylephrine-Cocoa Butter,On Label,OTC,4.0,4.0,4.0
1596,hemorrhoids,Lidocaine-Hydrocortisone-Aloe,On Label,RX,4.0,3.0,4.0
1597,hemorrhoids,Hydrocortisone,Off Label,OTC,4.0,5.0,4.0
1598,hemorrhoids,Hydrocortisone,Off Label,RX,3.0,3.0,2.0
1599,hemorrhoids,"Diphenhydramine-Calamine, Pramoxine-Calamine",On Label,OTC,3.0,5.0,4.0
1600,hemorrhoids,Hydrocortisone Acetate,On Label,RX,1.0,5.0,1.0
1601,herpes zoster,Valacyclovir,On Label,RX,4.29,4.6,4.15
1602,herpes zoster,Valacyclovir,On Label,RX,3.96,4.16,3.61
1603,herpes zoster,Famciclovir,On Label,RX,3.92,4.13,3.33
1604,herpes zoster,Acyclovir,On Label,RX,4.25,3.5,3.75
1605,herpes zoster,Acyclovir Sodium,On Label,RX,2.0,3.0,1.67
1606,herpes zoster,Acyclovir Sodium,On Label,RX,5.0,4.5,5.0
1607,hypercholesterolemia,Simvastatin,On Label,RX,3.06,3.83,2.14
1608,hypercholesterolemia,Atorvastatin,On Label,RX,3.33,3.84,2.45
1609,hypercholesterolemia,Rosuvastatin,On Label,RX,3.26,3.82,2.22
1610,hypercholesterolemia,Simvastatin,On Label,RX,3.14,3.8,2.34
1611,hypercholesterolemia,Pravastatin,On Label,RX,2.85,3.66,2.07
1612,hypercholesterolemia,Ezetimibe,On Label,RX,2.96,3.86,2.46
1613,hypercholesterolemia,"Fenofibrate Micronized, Fenofibrate Nanocrystallized",On Label,RX,3.16,4.01,2.4
1614,hypercholesterolemia,Niacin,On Label,RX,3.11,3.34,2.73
1615,hypercholesterolemia,Fenofibric Acid (Choline),On Label,RX,2.64,3.67,2.31
1616,hypercholesterolemia,Pitavastatin Calcium,On Label,RX,2.94,3.28,2.16
1617,hypercholesterolemia,Lovastatin,On Label,RX,2.82,3.71,2.18
1618,hypercholesterolemia,Atorvastatin,On Label,RX,3.38,3.8,2.55
1619,hypercholesterolemia,Pravastatin,On Label,RX,2.75,3.74,1.98
1620,hypercholesterolemia,Ezetimibe-Simvastatin,On Label,RX,4.25,4.41,3.33
1621,hypercholesterolemia,Fenofibrate,On Label,RX,3.53,4.04,2.96
1622,hypercholesterolemia,Cholestyramine-Aspartame,On Label,RX,4.38,4.38,4.08
1623,hypercholesterolemia,Colestipol,On Label,RX,4.08,3.68,3.78
1625,hypercholesterolemia,Niacin,On Label,RX/OTC,3.41,3.53,3.18
1626,hypercholesterolemia,Cholestyramine-Aspartame,On Label,RX,4.18,3.71,3.58
1627,hypercholesterolemia,Amlodipine-Atorvastatin,On Label,RX,3.56,4.25,3.38
